source,colA,colC,colB
DOC_CA_PSKUs,7G1313-250.CH4876N,48in - Shower - Silk Celesta Bypass Shower 48x76 - CH,
DOC_CA_PSKUs,7G1314-250.BN4876N,48in - Shower - Silk Celesta Bypass Shower 48x76 - BN,
DOC_CA_PSKUs,7G1315-250.MB4876N,48in - Shower - Silk Celesta Bypass Shower 48x76 - MB,
DOC_CA_PSKUs,7G2100-250.CH6076N,60in - Shower - Rotolo 60x76 - CH,
DOC_CA_PSKUs,7G2101-250.BN6076N,60in - Shower - Rotolo 60x76 - BN,
DOC_CA_PSKUs,7G2102-250.MB6076N,60in - Shower - Rotolo 60x76 - MB,
DOC_CA_PSKUs,7G2103-250.CH4876N,48in - Shower - Rotolo 48x76 - CH,
DOC_CA_PSKUs,7G2104-250.BN4876N,48in - Shower - Rotolo 48x76 - BN,
DOC_CA_PSKUs,7G2105-250.MB4876N,48in - Shower - Rotolo 48x76 - MB,
DOC_CA_PSKUs,7G2202-250.MB6076N,60in - Shower - Rotolo Grid Glass 60x76 - MB,
DOC_CA_PSKUs,7G2205-250.MB4876N,48in - Shower - Rotolo Grid Glass 48x76 - MB,
DOC_CA_PSKUs,7G2600-290.CH5476N,"54"" Barn Bypass Door CH",
DOC_CA_PSKUs,7G2600-290.CH5476N,60in - Shower - Rotolo 54x52-56 - CH,
DOC_CA_PSKUs,7G2601-290.BN5476N,"54"" Barn Bypass Door BN",
DOC_CA_PSKUs,7G2601-290.BN5476N,60in - Shower - Rotolo 54x52-56 - BN,
DOC_CA_PSKUs,7G2602-290.MB5476N,"54"" Barn Bypass Door MB",
DOC_CA_PSKUs,7G2602-290.MB5476N,60in - Shower - Rotolo 54x52-56 - MB,
DOC_CA_PSKUs,7G3100-299.CH6676N,"Custom Shower Door 66""",
DOC_CA_PSKUs,7G3101-299.BN6676N,"Custom Barn Door 66"" BN",
DOC_CA_PSKUs,7G3102-299.CH6676N,"Custom Barn Door 66"" MB",
DOC_CA_PSKUs,7G3103-299.MB7276N,"Custom Barn Door 72"" MB",
DOC_CA_PSKUs,7G3104-299.BN7276N,"Custom Barn Door 72"" BN",
DOC_CA_PSKUs,7G3105-299.CH7276N,"Custom Barn Door 72"" CH",
DOC_CA_PSKUs,7G6200-250.CH3676N,"36"" NEO Shower Door Chrome",
DOC_CA_PSKUs,7G6201-250.BN3676N,"36"" NEO Shower Door Brushed Nickel",
DOC_CA_PSKUs,7G6202-250.MB3676N,"36"" NEO Shower Door Matte Black",
DOC_CA_PSKUs,7G6203-250.CH3876N,"38"" NEO Shower Door Chrome",
DOC_CA_PSKUs,7G6204-250.BN3876N,"38"" NEO Shower Door Brushed Nickel",
DOC_CA_PSKUs,7G6205-250.MB3876N,"38"" NEO Shower Door Matte Black",
DOC_CA_PSKUs,7G6206-250.CH4276N,"42"" NEO Shower Door Chrome",
DOC_CA_PSKUs,7G6207-250.BN4276N,"42"" NEO Shower Door Brushed Nickel",
DOC_CA_PSKUs,7G6208-250.MB4276N,"42"" NEO Shower Door Matte Black",
DOC_CA_PSKUs,7R1010-250.CH0024N,24in - Townsend - CH,
DOC_CA_PSKUs,7R1011-250.BN0024N,24in - Townsend - BN,
DOC_CA_PSKUs,7R2008-250.CH0024N,24in - Studio - CH,
DOC_CA_PSKUs,7R2009-250.BN0024N,24in - Studio - BN,
DOC_CA_PSKUs,7R2010-250.MB0024N,24in - Studio - MB,
DOC_CA_PSKUs,7S0001-220.WH2231N,White,
DOC_CA_PSKUs,7S0110-240.GG3015N,Grey Garden,
DOC_CA_PSKUs,7S0111-240.WR3015N,White Reef,
DOC_CA_PSKUs,7S0113-240.CM3015N,Camden,
DOC_CA_PSKUs,7S0114-240.SR3015N,Serenade,
DOC_CA_PSKUs,7S0115-240.TO3015N,Thunder Oak,
DOC_CA_PSKUs,7S1204-250.WH1820N,Slimline White,
DOC_CA_PSKUs,7S1212-250.BL1820N,Slimline Black,
DOC_CA_PSKUs,7S1213-250.TK1820N,Slimline BN Teak,
DOC_CA_PSKUs,7S1220-250.CH1820N,Slimline Seat Chrome Real Teak,
DOC_CA_PSKUs,7S1220-250.CH1820N,Teak Slimline Seat CH,
DOC_CA_PSKUs,7S1221-250.MB1820N,Slimline Seat Matte Black Real Teak,
DOC_CA_PSKUs,7S1221-250.MB1820N,Teak Slimline Seat MB,
DOC_CA_PSKUs,7S1222-250.CH1820N,Comfort Plus Seat Chrome Real Teak,
DOC_CA_PSKUs,7S1222-250.CH1820N,Teak Comfort Plus Seat CH,
DOC_CA_PSKUs,7S1223-250.MB1820N,Comfort Plus Seat Matte Black Real Teak,
DOC_CA_PSKUs,7S1223-250.MB1820N,Teak Comfort Plus Seat MB,
DOC_CA_PSKUs,7S1300-250.WH1611,Seat Pad White,
DOC_CA_PSKUs,7S1301-250.BL1611,Seat Pad Black,
DOC_CA_PSKUs,7S1301-250.TK2716N,Comfort Plus BN Teak,
DOC_CA_PSKUs,7S1302-250.BL2716N,Comfort Plus Black,
DOC_CA_PSKUs,7T0005-220.WH0398N,Edge Trim Arctic White,
DOC_CA_PSKUs,7T0006-220.LN0398N,Edge Trim Linen,
DOC_CA_PSKUs,7T0009-220.RS0398N,Edge Trim Roman Stone,
